Person	Duration
4970	447.0
4971	31.0
3640	203.0
3638	113.0
4969	232.0
2306	279.0
3639	476.0
2305	391.0
2304	452.0
2303	440.0
2302	346.0
2301	430.0
2300	338.0
3630	288.0
4961	439.0
3631	511.0
4962	161.0
4963	352.0
3632	540.0
4964	364.0
3633	126.0
4965	347.0
3634	558.0
3635	442.0
2309	258.0
4966	452.0
4967	448.0
2308	225.0
3636	278.0
4968	554.0
2307	395.0
3637	478.0
4980	266.0
4981	463.0
3650	282.0
4982	356.0
3651	206.0
2320	337.0
2317	347.0
0	354.0
3649	316.0
2316	59.0
1	440.0
2315	344.0
2	269.0
2314	263.0
3	589.0
4	243.0
2313	197.0
2312	276.0
5	83.0
2311	350.0
6	298.0
2310	329.0
7	243.0
4972	428.0
8	393.0
3641	231.0
3642	391.0
4973	607.0
9	332.0
4974	251.0
3643	178.0
3644	455.0
4975	56.0
3645	431.0
4976	402.0
3646	226.0
4977	172.0
4978	282.0
2319	336.0
3647	273.0
2318	177.0
3648	366.0
4979	387.0
4990	309.0
4991	310.0
3660	289.0
4992	139.0
3661	319.0
4993	331.0
3662	265.0
2331	166.0
1000	430.0
2330	199.0
2328	268.0
2327	355.0
2326	413.0
2325	347.0
2324	172.0
2323	244.0
2322	555.0
2321	304.0
3652	551.0
4983	257.0
4984	383.0
3653	123.0
3654	458.0
4985	121.0
3655	256.0
4986	304.0
3656	213.0
4987	294.0
3657	452.0
4988	432.0
4989	254.0
3658	226.0
2329	126.0
3659	231.0
3670	430.0
3671	363.0
3672	321.0
3673	442.0
1011	302.0
2342	240.0
2341	398.0
1010	417.0
2340	516.0
2339	358.0
1008	333.0
1007	452.0
2338	218.0
2337	233.0
1006	432.0
1005	71.0
2336	546.0
2335	274.0
1004	368.0
1003	439.0
2334	242.0
1002	495.0
2333	175.0
1001	165.0
2332	276.0
4994	65.0
3663	203.0
3664	290.0
4995	249.0
3665	384.0
4996	336.0
4997	702.0
3666	423.0
3667	283.0
4998	295.0
4999	317.0
3668	345.0
3669	468.0
1009	300.0
3680	365.0
3681	231.0
3682	158.0
3683	424.0
3684	384.0
1022	302.0
2353	285.0
1021	328.0
2352	119.0
2351	287.0
1020	253.0
2350	545.0
1019	409.0
2349	314.0
1018	356.0
2348	294.0
1017	415.0
1016	567.0
2347	310.0
1015	409.0
2346	450.0
1014	654.0
2345	322.0
2344	107.0
1013	422.0
1012	374.0
2343	407.0
3674	119.0
3675	442.0
3676	526.0
3677	182.0
3678	234.0
3679	279.0
3690	290.0
3691	506.0
3692	417.0
3693	178.0
3694	735.0
3695	334.0
2364	392.0
1033	176.0
2363	395.0
1032	330.0
1031	206.0
2362	463.0
2361	270.0
1030	380.0
2360	238.0
1029	544.0
1028	215.0
2359	641.0
2358	540.0
1027	450.0
1026	177.0
2357	637.0
2356	31.0
1025	172.0
2355	222.0
1024	234.0
2354	301.0
1023	606.0
3685	466.0
3686	446.0
3687	524.0
3688	469.0
3689	492.0
2375	429.0
1044	339.0
2374	657.0
1043	179.0
2373	176.0
1042	275.0
2372	240.0
1041	336.0
1040	276.0
2371	715.0
2370	265.0
1039	460.0
1038	504.0
2369	115.0
1037	217.0
2368	421.0
1036	243.0
2367	561.0
1035	339.0
2366	492.0
1034	755.0
2365	403.0
3696	225.0
3697	325.0
3698	422.0
3699	109.0
1055	374.0
2386	332.0
2385	219.0
1054	136.0
1053	300.0
2384	381.0
1052	120.0
2383	280.0
2382	240.0
1051	585.0
2381	398.0
1050	370.0
2380	393.0
1049	260.0
2379	119.0
1048	30.0
1047	277.0
2378	474.0
2377	506.0
1046	438.0
1045	188.0
2376	495.0
1066	413.0
2397	318.0
2396	428.0
1065	424.0
2395	199.0
1064	488.0
1063	425.0
2394	228.0
1062	196.0
2393	319.0
2392	405.0
1061	397.0
1060	291.0
2391	222.0
2390	531.0
1059	474.0
2389	243.0
1058	340.0
1057	238.0
2388	311.0
1056	405.0
2387	415.0
4100	179.0
4101	154.0
4102	265.0
1077	183.0
1076	661.0
1075	305.0
1074	425.0
1073	279.0
1072	435.0
1071	279.0
1070	393.0
1069	420.0
1068	382.0
2399	237.0
2398	239.0
1067	593.0
1080	455.0
4110	412.0
4111	308.0
4112	341.0
4113	168.0
1088	352.0
1087	195.0
1086	161.0
1085	546.0
1084	150.0
1083	542.0
1082	406.0
1081	277.0
1079	347.0
1078	330.0
4103	386.0
4104	286.0
4105	215.0
4106	433.0
4107	548.0
4108	392.0
4109	372.0
1091	171.0
1090	652.0
4120	209.0
4121	302.0
4122	119.0
4123	574.0
4124	254.0
1099	133.0
1098	150.0
1097	574.0
1096	288.0
1095	281.0
1094	269.0
1093	453.0
1092	350.0
1089	511.0
4114	350.0
4115	237.0
4116	274.0
4117	254.0
4118	304.0
4119	252.0
4130	442.0
4131	257.0
4132	249.0
4133	261.0
4134	475.0
4135	265.0
4125	514.0
4126	398.0
4127	237.0
4128	259.0
4129	479.0
4140	503.0
4141	390.0
4142	203.0
4143	323.0
4144	396.0
4145	496.0
4146	344.0
200	259.0
201	293.0
202	282.0
203	514.0
204	265.0
205	387.0
206	223.0
4136	440.0
