Time	MaxFlow
33287.0	10
66575.0	10
37383.0	6
74767.0	2
41479.0	2
45575.0	0
49671.0	0
53767.0	0
57863.0	4
61959.0	10
66574.0	8
74766.0	2
20739.0	0
22787.0	2
24835.0	2
26883.0	4
28931.0	4
30979.0	6
33286.0	10
66573.0	8
37382.0	6
74765.0	2
41478.0	2
45574.0	0
49670.0	0
53766.0	0
57862.0	4
61958.0	12
66572.0	8
74764.0	2
33285.0	10
66571.0	8
37381.0	6
74763.0	2
41477.0	2
45573.0	0
49669.0	0
53765.0	0
57861.0	2
61957.0	12
66570.0	8
74762.0	2
20738.0	0
22786.0	2
24834.0	4
26882.0	4
28930.0	4
30978.0	6
33284.0	10
66569.0	8
37380.0	6
74761.0	2
41476.0	2
45572.0	0
49668.0	0
53764.0	0
57860.0	4
61956.0	14
66568.0	8
74760.0	2
33283.0	10
66567.0	8
37379.0	4
74759.0	2
41475.0	2
45571.0	0
49667.0	0
53763.0	0
57859.0	4
61955.0	14
66566.0	8
74758.0	2
20737.0	0
22785.0	2
24833.0	4
26881.0	4
28929.0	6
30977.0	6
33282.0	10
66565.0	8
37378.0	4
74757.0	2
41474.0	2
45570.0	0
49666.0	0
53762.0	0
57858.0	4
61954.0	14
66564.0	6
74756.0	2
33281.0	10
66563.0	6
37377.0	4
74755.0	2
41473.0	2
45569.0	0
49665.0	0
53761.0	0
57857.0	4
61953.0	12
66562.0	6
74754.0	2
20736.0	0
22784.0	2
24832.0	4
26880.0	4
28928.0	4
30976.0	6
33280.0	10
66561.0	6
37376.0	4
74753.0	2
41472.0	2
45568.0	0
49664.0	0
53760.0	0
57856.0	4
61952.0	12
66560.0	6
74752.0	2
33295.0	8
66591.0	12
37391.0	8
74783.0	2
41487.0	2
45583.0	0
49679.0	0
53775.0	0
57871.0	4
61967.0	10
66590.0	12
74782.0	2
20743.0	0
22791.0	2
24839.0	4
26887.0	4
28935.0	6
30983.0	6
33294.0	8
66589.0	12
37390.0	8
74781.0	2
41486.0	2
45582.0	0
49678.0	0
53774.0	0
57870.0	4
61966.0	10
66588.0	12
74780.0	2
33293.0	8
66587.0	12
37389.0	8
74779.0	2
41485.0	2
45581.0	0
49677.0	0
53773.0	0
57869.0	2
61965.0	12
66586.0	12
74778.0	2
20742.0	0
22790.0	2
24838.0	4
26886.0	4
28934.0	6
30982.0	6
33292.0	8
66585.0	12
37388.0	8
74777.0	2
41484.0	2
45580.0	0
49676.0	0
53772.0	0
57868.0	4
61964.0	12
66584.0	12
74776.0	2
33291.0	8
66583.0	12
37387.0	8
74775.0	2
41483.0	2
45579.0	0
49675.0	0
53771.0	0
57867.0	4
61963.0	10
66582.0	12
74774.0	2
20741.0	0
22789.0	2
24837.0	4
26885.0	4
28933.0	6
30981.0	6
33290.0	8
66581.0	10
