signal id;x;y;time;signal state
530;654499.9005263615;4946533.654630517;19832.0;GREEN
2156;652643.4715158606;4947704.275130741;19832.0;GREEN
2157;652649.6968765225;4947701.159576189;19832.0;GREEN
763;652965.8020270551;4946861.410030423;19832.0;GREEN
202;654538.4066623301;4946540.811418572;19832.0;GREEN
1866;654509.6311381037;4946514.599568103;19832.0;GREEN
352;654510.3913899665;4946528.555217131;19832.0;GREEN
527;654515.7350875862;4946496.930319629;19852.0;GREEN
530;654499.9005263615;4946533.654630517;19852.0;RED
2153;652679.2672700504;4947686.42468062;19852.0;GREEN
2156;652643.4715158606;4947704.275130741;19852.0;RED
2157;652649.6968765225;4947701.159576189;19852.0;RED
2160;652613.7229381826;4947718.648865293;19852.0;GREEN
763;652965.8020270551;4946861.410030423;19852.0;GREEN
202;654538.4066623301;4946540.811418572;19852.0;RED
205;654501.7450862566;4946524.813642484;19852.0;GREEN
1866;654509.6311381037;4946514.599568103;19852.0;RED
1869;654491.2132318158;4946550.092172825;19852.0;GREEN
352;654510.3913899665;4946528.555217131;19852.0;RED
355;654473.8721333703;4946512.242822346;19852.0;GREEN
527;654515.7350875862;4946496.930319629;19872.0;RED
530;654499.9005263615;4946533.654630517;19872.0;GREEN
2153;652679.2672700504;4947686.42468062;19872.0;RED
2156;652643.4715158606;4947704.275130741;19872.0;GREEN
2157;652649.6968765225;4947701.159576189;19872.0;GREEN
2160;652613.7229381826;4947718.648865293;19872.0;RED
763;652965.8020270551;4946861.410030423;19872.0;GREEN
202;654538.4066623301;4946540.811418572;19872.0;GREEN
205;654501.7450862566;4946524.813642484;19872.0;RED
1866;654509.6311381037;4946514.599568103;19872.0;GREEN
1869;654491.2132318158;4946550.092172825;19872.0;RED
352;654510.3913899665;4946528.555217131;19872.0;GREEN
355;654473.8721333703;4946512.242822346;19872.0;RED
527;654515.7350875862;4946496.930319629;19892.0;GREEN
530;654499.9005263615;4946533.654630517;19892.0;RED
2153;652679.2672700504;4947686.42468062;19892.0;GREEN
2156;652643.4715158606;4947704.275130741;19892.0;RED
2157;652649.6968765225;4947701.159576189;19892.0;RED
2160;652613.7229381826;4947718.648865293;19892.0;GREEN
763;652965.8020270551;4946861.410030423;19892.0;GREEN
202;654538.4066623301;4946540.811418572;19892.0;RED
205;654501.7450862566;4946524.813642484;19892.0;GREEN
1866;654509.6311381037;4946514.599568103;19892.0;RED
1869;654491.2132318158;4946550.092172825;19892.0;GREEN
352;654510.3913899665;4946528.555217131;19892.0;RED
355;654473.8721333703;4946512.242822346;19892.0;GREEN
527;654515.7350875862;4946496.930319629;19912.0;RED
530;654499.9005263615;4946533.654630517;19912.0;GREEN
2153;652679.2672700504;4947686.42468062;19912.0;RED
2156;652643.4715158606;4947704.275130741;19912.0;GREEN
2157;652649.6968765225;4947701.159576189;19912.0;GREEN
2160;652613.7229381826;4947718.648865293;19912.0;RED
763;652965.8020270551;4946861.410030423;19912.0;GREEN
202;654538.4066623301;4946540.811418572;19912.0;GREEN
205;654501.7450862566;4946524.813642484;19912.0;RED
1866;654509.6311381037;4946514.599568103;19912.0;GREEN
1869;654491.2132318158;4946550.092172825;19912.0;RED
352;654510.3913899665;4946528.555217131;19912.0;GREEN
355;654473.8721333703;4946512.242822346;19912.0;RED
527;654515.7350875862;4946496.930319629;19932.0;GREEN
530;654499.9005263615;4946533.654630517;19932.0;RED
2153;652679.2672700504;4947686.42468062;19932.0;GREEN
2156;652643.4715158606;4947704.275130741;19932.0;RED
2157;652649.6968765225;4947701.159576189;19932.0;RED
2160;652613.7229381826;4947718.648865293;19932.0;GREEN
763;652965.8020270551;4946861.410030423;19932.0;GREEN
202;654538.4066623301;4946540.811418572;19932.0;RED
205;654501.7450862566;4946524.813642484;19932.0;GREEN
1866;654509.6311381037;4946514.599568103;19932.0;RED
1869;654491.2132318158;4946550.092172825;19932.0;GREEN
352;654510.3913899665;4946528.555217131;19932.0;RED
355;654473.8721333703;4946512.242822346;19932.0;GREEN
527;654515.7350875862;4946496.930319629;19952.0;RED
530;654499.9005263615;4946533.654630517;19952.0;GREEN
2153;652679.2672700504;4947686.42468062;19952.0;RED
2156;652643.4715158606;4947704.275130741;19952.0;GREEN
2157;652649.6968765225;4947701.159576189;19952.0;GREEN
2160;652613.7229381826;4947718.648865293;19952.0;RED
763;652965.8020270551;4946861.410030423;19952.0;GREEN
202;654538.4066623301;4946540.811418572;19952.0;GREEN
205;654501.7450862566;4946524.813642484;19952.0;RED
1866;654509.6311381037;4946514.599568103;19952.0;GREEN
1869;654491.2132318158;4946550.092172825;19952.0;RED
352;654510.3913899665;4946528.555217131;19952.0;GREEN
355;654473.8721333703;4946512.242822346;19952.0;RED
527;654515.7350875862;4946496.930319629;19972.0;GREEN
530;654499.9005263615;4946533.654630517;19972.0;RED
2153;652679.2672700504;4947686.42468062;19972.0;GREEN
2156;652643.4715158606;4947704.275130741;19972.0;RED
2157;652649.6968765225;4947701.159576189;19972.0;RED
2160;652613.7229381826;4947718.648865293;19972.0;GREEN
763;652965.8020270551;4946861.410030423;19972.0;GREEN
202;654538.4066623301;4946540.811418572;19972.0;RED
205;654501.7450862566;4946524.813642484;19972.0;GREEN
1866;654509.6311381037;4946514.599568103;19972.0;RED
1869;654491.2132318158;4946550.092172825;19972.0;GREEN
352;654510.3913899665;4946528.555217131;19972.0;RED
355;654473.8721333703;4946512.242822346;19972.0;GREEN
527;654515.7350875862;4946496.930319629;19992.0;RED
530;654499.9005263615;4946533.654630517;19992.0;GREEN
2153;652679.2672700504;4947686.42468062;19992.0;RED
2156;652643.4715158606;4947704.275130741;19992.0;GREEN
2157;652649.6968765225;4947701.159576189;19992.0;GREEN
2160;652613.7229381826;4947718.648865293;19992.0;RED
763;652965.8020270551;4946861.410030423;19992.0;GREEN
202;654538.4066623301;4946540.811418572;19992.0;GREEN
205;654501.7450862566;4946524.813642484;19992.0;RED
1866;654509.6311381037;4946514.599568103;19992.0;GREEN
1869;654491.2132318158;4946550.092172825;19992.0;RED
352;654510.3913899665;4946528.555217131;19992.0;GREEN
355;654473.8721333703;4946512.242822346;19992.0;RED
527;654515.7350875862;4946496.930319629;20012.0;GREEN
530;654499.9005263615;4946533.654630517;20012.0;RED
2153;652679.2672700504;4947686.42468062;20012.0;GREEN
2156;652643.4715158606;4947704.275130741;20012.0;RED
2157;652649.6968765225;4947701.159576189;20012.0;RED
2160;652613.7229381826;4947718.648865293;20012.0;GREEN
763;652965.8020270551;4946861.410030423;20012.0;GREEN
202;654538.4066623301;4946540.811418572;20012.0;RED
205;654501.7450862566;4946524.813642484;20012.0;GREEN
1866;654509.6311381037;4946514.599568103;20012.0;RED
1869;654491.2132318158;4946550.092172825;20012.0;GREEN
352;654510.3913899665;4946528.555217131;20012.0;RED
355;654473.8721333703;4946512.242822346;20012.0;GREEN
527;654515.7350875862;4946496.930319629;20032.0;RED
530;654499.9005263615;4946533.654630517;20032.0;GREEN
2153;652679.2672700504;4947686.42468062;20032.0;RED
2156;652643.4715158606;4947704.275130741;20032.0;GREEN
2157;652649.6968765225;4947701.159576189;20032.0;GREEN
2160;652613.7229381826;4947718.648865293;20032.0;RED
763;652965.8020270551;4946861.410030423;20032.0;GREEN
202;654538.4066623301;4946540.811418572;20032.0;GREEN
205;654501.7450862566;4946524.813642484;20032.0;RED
1866;654509.6311381037;4946514.599568103;20032.0;GREEN
1869;654491.2132318158;4946550.092172825;20032.0;RED
352;654510.3913899665;4946528.555217131;20032.0;GREEN
355;654473.8721333703;4946512.242822346;20032.0;RED
527;654515.7350875862;4946496.930319629;20052.0;GREEN
530;654499.9005263615;4946533.654630517;20052.0;RED
2153;652679.2672700504;4947686.42468062;20052.0;GREEN
2156;652643.4715158606;4947704.275130741;20052.0;RED
2157;652649.6968765225;4947701.159576189;20052.0;RED
2160;652613.7229381826;4947718.648865293;20052.0;GREEN
763;652965.8020270551;4946861.410030423;20052.0;GREEN
202;654538.4066623301;4946540.811418572;20052.0;RED
205;654501.7450862566;4946524.813642484;20052.0;GREEN
1866;654509.6311381037;4946514.599568103;20052.0;RED
1869;654491.2132318158;4946550.092172825;20052.0;GREEN
352;654510.3913899665;4946528.555217131;20052.0;RED
355;654473.8721333703;4946512.242822346;20052.0;GREEN
527;654515.7350875862;4946496.930319629;20072.0;RED
530;654499.9005263615;4946533.654630517;20072.0;GREEN
2153;652679.2672700504;4947686.42468062;20072.0;RED
2156;652643.4715158606;4947704.275130741;20072.0;GREEN
2157;652649.6968765225;4947701.159576189;20072.0;GREEN
2160;652613.7229381826;4947718.648865293;20072.0;RED
763;652965.8020270551;4946861.410030423;20072.0;GREEN
202;654538.4066623301;4946540.811418572;20072.0;GREEN
205;654501.7450862566;4946524.813642484;20072.0;RED
1866;654509.6311381037;4946514.599568103;20072.0;GREEN
1869;654491.2132318158;4946550.092172825;20072.0;RED
352;654510.3913899665;4946528.555217131;20072.0;GREEN
355;654473.8721333703;4946512.242822346;20072.0;RED
527;654515.7350875862;4946496.930319629;20092.0;GREEN
530;654499.9005263615;4946533.654630517;20092.0;RED
2153;652679.2672700504;4947686.42468062;20092.0;GREEN
2156;652643.4715158606;4947704.275130741;20092.0;RED
2157;652649.6968765225;4947701.159576189;20092.0;RED
2160;652613.7229381826;4947718.648865293;20092.0;GREEN
763;652965.8020270551;4946861.410030423;20092.0;GREEN
202;654538.4066623301;4946540.811418572;20092.0;RED
205;654501.7450862566;4946524.813642484;20092.0;GREEN
1866;654509.6311381037;4946514.599568103;20092.0;RED
1869;654491.2132318158;4946550.092172825;20092.0;GREEN
352;654510.3913899665;4946528.555217131;20092.0;RED
355;654473.8721333703;4946512.242822346;20092.0;GREEN
527;654515.7350875862;4946496.930319629;20112.0;RED
530;654499.9005263615;4946533.654630517;20112.0;GREEN
2153;652679.2672700504;4947686.42468062;20112.0;RED
2156;652643.4715158606;4947704.275130741;20112.0;GREEN
2157;652649.6968765225;4947701.159576189;20112.0;GREEN
2160;652613.7229381826;4947718.648865293;20112.0;RED
763;652965.8020270551;4946861.410030423;20112.0;GREEN
202;654538.4066623301;4946540.811418572;20112.0;GREEN
205;654501.7450862566;4946524.813642484;20112.0;RED
1866;654509.6311381037;4946514.599568103;20112.0;GREEN
1869;654491.2132318158;4946550.092172825;20112.0;RED
352;654510.3913899665;4946528.555217131;20112.0;GREEN
355;654473.8721333703;4946512.242822346;20112.0;RED
527;654515.7350875862;4946496.930319629;20132.0;GREEN
530;654499.9005263615;4946533.654630517;20132.0;RED
2153;652679.2672700504;4947686.42468062;20132.0;GREEN
2156;652643.4715158606;4947704.275130741;20132.0;RED
2157;652649.6968765225;4947701.159576189;20132.0;RED
2160;652613.7229381826;4947718.648865293;20132.0;GREEN
763;652965.8020270551;4946861.410030423;20132.0;GREEN
202;654538.4066623301;4946540.811418572;20132.0;RED
205;654501.7450862566;4946524.813642484;20132.0;GREEN
1866;654509.6311381037;4946514.599568103;20132.0;RED
1869;654491.2132318158;4946550.092172825;20132.0;GREEN
352;654510.3913899665;4946528.555217131;20132.0;RED
355;654473.8721333703;4946512.242822346;20132.0;GREEN
527;654515.7350875862;4946496.930319629;20152.0;RED
530;654499.9005263615;4946533.654630517;20152.0;GREEN
2153;652679.2672700504;4947686.42468062;20152.0;RED
2156;652643.4715158606;4947704.275130741;20152.0;GREEN
2157;652649.6968765225;4947701.159576189;20152.0;GREEN
2160;652613.7229381826;4947718.648865293;20152.0;RED
763;652965.8020270551;4946861.410030423;20152.0;GREEN
202;654538.4066623301;4946540.811418572;20152.0;GREEN
205;654501.7450862566;4946524.813642484;20152.0;RED
1866;654509.6311381037;4946514.599568103;20152.0;GREEN
1869;654491.2132318158;4946550.092172825;20152.0;RED
352;654510.3913899665;4946528.555217131;20152.0;GREEN
355;654473.8721333703;4946512.242822346;20152.0;RED
527;654515.7350875862;4946496.930319629;20172.0;GREEN
530;654499.9005263615;4946533.654630517;20172.0;RED
2153;652679.2672700504;4947686.42468062;20172.0;GREEN
2156;652643.4715158606;4947704.275130741;20172.0;RED
2157;652649.6968765225;4947701.159576189;20172.0;RED
2160;652613.7229381826;4947718.648865293;20172.0;GREEN
763;652965.8020270551;4946861.410030423;20172.0;GREEN
202;654538.4066623301;4946540.811418572;20172.0;RED
205;654501.7450862566;4946524.813642484;20172.0;GREEN
1866;654509.6311381037;4946514.599568103;20172.0;RED
1869;654491.2132318158;4946550.092172825;20172.0;GREEN
352;654510.3913899665;4946528.555217131;20172.0;RED
355;654473.8721333703;4946512.242822346;20172.0;GREEN
527;654515.7350875862;4946496.930319629;20192.0;RED
530;654499.9005263615;4946533.654630517;20192.0;GREEN
2153;652679.2672700504;4947686.42468062;20192.0;RED
2156;652643.4715158606;4947704.275130741;20192.0;GREEN
2157;652649.6968765225;4947701.159576189;20192.0;GREEN
2160;652613.7229381826;4947718.648865293;20192.0;RED
763;652965.8020270551;4946861.410030423;20192.0;GREEN
202;654538.4066623301;4946540.811418572;20192.0;GREEN
205;654501.7450862566;4946524.813642484;20192.0;RED
1866;654509.6311381037;4946514.599568103;20192.0;GREEN
1869;654491.2132318158;4946550.092172825;20192.0;RED
352;654510.3913899665;4946528.555217131;20192.0;GREEN
355;654473.8721333703;4946512.242822346;20192.0;RED
527;654515.7350875862;4946496.930319629;20212.0;GREEN
530;654499.9005263615;4946533.654630517;20212.0;RED
2153;652679.2672700504;4947686.42468062;20212.0;GREEN
2156;652643.4715158606;4947704.275130741;20212.0;RED
2157;652649.6968765225;4947701.159576189;20212.0;RED
2160;652613.7229381826;4947718.648865293;20212.0;GREEN
763;652965.8020270551;4946861.410030423;20212.0;GREEN
202;654538.4066623301;4946540.811418572;20212.0;RED
205;654501.7450862566;4946524.813642484;20212.0;GREEN
1866;654509.6311381037;4946514.599568103;20212.0;RED
1869;654491.2132318158;4946550.092172825;20212.0;GREEN
352;654510.3913899665;4946528.555217131;20212.0;RED
355;654473.8721333703;4946512.242822346;20212.0;GREEN
527;654515.7350875862;4946496.930319629;20232.0;RED
530;654499.9005263615;4946533.654630517;20232.0;GREEN
2153;652679.2672700504;4947686.42468062;20232.0;RED
2156;652643.4715158606;4947704.275130741;20232.0;GREEN
2157;652649.6968765225;4947701.159576189;20232.0;GREEN
2160;652613.7229381826;4947718.648865293;20232.0;RED
763;652965.8020270551;4946861.410030423;20232.0;GREEN
202;654538.4066623301;4946540.811418572;20232.0;GREEN
205;654501.7450862566;4946524.813642484;20232.0;RED
1866;654509.6311381037;4946514.599568103;20232.0;GREEN
1869;654491.2132318158;4946550.092172825;20232.0;RED
352;654510.3913899665;4946528.555217131;20232.0;GREEN
355;654473.8721333703;4946512.242822346;20232.0;RED
527;654515.7350875862;4946496.930319629;20252.0;GREEN
530;654499.9005263615;4946533.654630517;20252.0;RED
2153;652679.2672700504;4947686.42468062;20252.0;GREEN
2156;652643.4715158606;4947704.275130741;20252.0;RED
2157;652649.6968765225;4947701.159576189;20252.0;RED
2160;652613.7229381826;4947718.648865293;20252.0;GREEN
763;652965.8020270551;4946861.410030423;20252.0;GREEN
202;654538.4066623301;4946540.811418572;20252.0;RED
205;654501.7450862566;4946524.813642484;20252.0;GREEN
1866;654509.6311381037;4946514.599568103;20252.0;RED
1869;654491.2132318158;4946550.092172825;20252.0;GREEN
352;654510.3913899665;4946528.555217131;20252.0;RED
355;654473.8721333703;4946512.242822346;20252.0;GREEN
527;654515.7350875862;4946496.930319629;20272.0;RED
530;654499.9005263615;4946533.654630517;20272.0;GREEN
2153;652679.2672700504;4947686.42468062;20272.0;RED
2156;652643.4715158606;4947704.275130741;20272.0;GREEN
2157;652649.6968765225;4947701.159576189;20272.0;GREEN
2160;652613.7229381826;4947718.648865293;20272.0;RED
763;652965.8020270551;4946861.410030423;20272.0;GREEN
202;654538.4066623301;4946540.811418572;20272.0;GREEN
205;654501.7450862566;4946524.813642484;20272.0;RED
1866;654509.6311381037;4946514.599568103;20272.0;GREEN
1869;654491.2132318158;4946550.092172825;20272.0;RED
352;654510.3913899665;4946528.555217131;20272.0;GREEN
355;654473.8721333703;4946512.242822346;20272.0;RED
527;654515.7350875862;4946496.930319629;20292.0;GREEN
530;654499.9005263615;4946533.654630517;20292.0;RED
2153;652679.2672700504;4947686.42468062;20292.0;GREEN
2156;652643.4715158606;4947704.275130741;20292.0;RED
2157;652649.6968765225;4947701.159576189;20292.0;RED
2160;652613.7229381826;4947718.648865293;20292.0;GREEN
763;652965.8020270551;4946861.410030423;20292.0;GREEN
202;654538.4066623301;4946540.811418572;20292.0;RED
205;654501.7450862566;4946524.813642484;20292.0;GREEN
1866;654509.6311381037;4946514.599568103;20292.0;RED
1869;654491.2132318158;4946550.092172825;20292.0;GREEN
352;654510.3913899665;4946528.555217131;20292.0;RED
355;654473.8721333703;4946512.242822346;20292.0;GREEN
527;654515.7350875862;4946496.930319629;20312.0;RED
530;654499.9005263615;4946533.654630517;20312.0;GREEN
2153;652679.2672700504;4947686.42468062;20312.0;RED
2156;652643.4715158606;4947704.275130741;20312.0;GREEN
2157;652649.6968765225;4947701.159576189;20312.0;GREEN
2160;652613.7229381826;4947718.648865293;20312.0;RED
763;652965.8020270551;4946861.410030423;20312.0;GREEN
202;654538.4066623301;4946540.811418572;20312.0;GREEN
205;654501.7450862566;4946524.813642484;20312.0;RED
1866;654509.6311381037;4946514.599568103;20312.0;GREEN
1869;654491.2132318158;4946550.092172825;20312.0;RED
352;654510.3913899665;4946528.555217131;20312.0;GREEN
355;654473.8721333703;4946512.242822346;20312.0;RED
