Person	Duration
4970	381.0
3640	423.0
4971	250.0
2306	293.0
4969	40.0
3638	519.0
2305	492.0
3639	725.0
2304	212.0
2303	313.0
2302	338.0
2301	768.0
2300	225.0
4961	289.0
3630	380.0
4962	777.0
3631	886.0
4963	102.0
4964	594.0
3633	259.0
3634	97.0
4965	100.0
3635	972.0
4966	353.0
2309	530.0
2308	176.0
4967	647.0
3636	399.0
2307	822.0
4968	841.0
4980	251.0
3650	785.0
4981	215.0
3651	392.0
4982	579.0
2320	464.0
0	738.0
2317	419.0
3649	225.0
2316	581.0
1	213.0
2315	427.0
2	115.0
3	576.0
2314	1120.0
2313	138.0
4	216.0
5	469.0
2312	929.0
2311	260.0
6	448.0
2310	400.0
7	654.0
3641	349.0
4972	634.0
8	947.0
3642	835.0
4973	828.0
4974	463.0
3643	30.0
4975	557.0
3644	68.0
3645	796.0
3646	923.0
4977	665.0
4978	494.0
2319	718.0
3647	970.0
2318	389.0
4979	678.0
4990	1024.0
3660	726.0
4991	647.0
3661	714.0
4992	536.0
3662	553.0
4993	558.0
2331	796.0
1000	458.0
2330	536.0
2328	220.0
2327	1107.0
2326	744.0
2325	429.0
2324	679.0
2323	804.0
2322	701.0
2321	448.0
4983	290.0
3652	280.0
4984	753.0
3653	492.0
4985	610.0
3655	323.0
4987	841.0
3656	1060.0
3657	1060.0
4988	825.0
3658	526.0
4989	200.0
3659	139.0
2329	654.0
3670	1016.0
3671	236.0
3672	544.0
3673	871.0
2342	392.0
1011	256.0
1010	265.0
2340	311.0
2339	231.0
1008	528.0
1007	756.0
2338	196.0
2337	304.0
1006	77.0
2336	261.0
1005	230.0
1004	687.0
2335	444.0
2334	664.0
2333	324.0
1002	258.0
1001	1012.0
2332	534.0
4994	594.0
3663	742.0
3664	801.0
4995	676.0
3665	525.0
4996	757.0
3666	971.0
4997	429.0
4998	906.0
3667	717.0
4999	339.0
3668	291.0
3669	706.0
1009	682.0
3680	348.0
3681	251.0
3682	476.0
3684	900.0
2353	277.0
1022	590.0
2352	148.0
1021	409.0
2351	530.0
1020	1041.0
2350	431.0
1019	518.0
1018	476.0
2349	791.0
2348	357.0
1017	399.0
2347	220.0
1016	615.0
1015	533.0
2346	654.0
1014	464.0
2345	508.0
1013	340.0
2344	352.0
2343	613.0
1012	581.0
3674	1070.0
3675	809.0
3676	233.0
3677	154.0
3678	597.0
3679	143.0
3690	384.0
3691	375.0
3692	568.0
3694	734.0
3695	461.0
2364	528.0
1033	371.0
1032	895.0
2363	819.0
2362	1111.0
1031	428.0
2361	31.0
1030	725.0
2360	468.0
1029	560.0
1028	274.0
2359	291.0
1027	25.0
2358	942.0
1026	542.0
2357	352.0
1025	283.0
2356	636.0
1024	417.0
2354	738.0
1023	413.0
3685	643.0
3686	654.0
3687	394.0
3688	473.0
3689	242.0
1044	185.0
2374	70.0
1043	418.0
2373	128.0
1042	997.0
2372	1127.0
1041	1041.0
1040	750.0
2371	773.0
2370	618.0
1039	109.0
2369	225.0
2368	587.0
1037	619.0
1036	1202.0
2367	507.0
1035	338.0
2366	263.0
1034	428.0
2365	774.0
3696	573.0
3697	698.0
3699	508.0
1055	126.0
2386	239.0
2385	310.0
1054	894.0
1053	276.0
2384	915.0
1052	362.0
2383	104.0
2382	714.0
1051	876.0
2381	373.0
1050	520.0
2380	428.0
1049	473.0
2379	725.0
2378	299.0
1047	326.0
1046	115.0
2377	190.0
1045	681.0
2376	833.0
1066	416.0
2397	371.0
1065	271.0
2396	660.0
2395	492.0
1064	474.0
1063	664.0
2394	940.0
1062	225.0
2393	903.0
1061	220.0
2392	235.0
2391	808.0
1060	835.0
2390	906.0
1059	551.0
2389	115.0
1058	568.0
2388	546.0
2387	985.0
1056	744.0
4100	731.0
4101	348.0
4102	915.0
1077	542.0
1076	519.0
1075	1068.0
1074	894.0
1073	723.0
1072	505.0
1071	797.0
1069	1220.0
1068	570.0
2399	382.0
1067	422.0
2398	1090.0
1080	426.0
4110	454.0
4111	172.0
4112	1075.0
4113	774.0
1088	621.0
1087	336.0
1086	508.0
1085	389.0
1084	961.0
1083	1052.0
1082	553.0
1081	210.0
1079	370.0
1078	668.0
4103	400.0
4104	198.0
4105	698.0
4106	1101.0
4108	494.0
4109	466.0
1091	828.0
1090	196.0
4120	278.0
4121	1107.0
4122	336.0
4123	481.0
4124	511.0
1099	176.0
1098	466.0
1097	442.0
1096	186.0
1095	174.0
1094	627.0
1093	283.0
1092	777.0
1089	674.0
4114	454.0
4115	412.0
4116	231.0
4117	1146.0
4118	172.0
4119	420.0
4130	1042.0
4131	508.0
4132	838.0
4133	225.0
4134	50.0
4125	146.0
4126	456.0
4127	1004.0
4128	473.0
4129	433.0
4140	465.0
4141	357.0
4142	1025.0
4143	238.0
4144	225.0
4145	361.0
4146	1041.0
200	259.0
201	569.0
202	725.0
203	376.0
204	681.0
205	1076.0
206	573.0
207	303.0
4138	1018.0
209	991.0
4139	765.0
4150	539.0
4151	534.0
4152	581.0
4153	440.0
4154	613.0
4155	227.0
4156	674.0
4157	474.0
210	241.0
211	465.0
212	314.0
213	558.0
214	537.0
216	950.0
4147	443.0
217	692.0
4148	97.0
218	255.0
219	1012.0
4149	785.0
4162	23.0
4163	189.0
4165	820.0
4166	538.0
4167	442.0
4168	181.0
4160	894.0
220	130.0
221	666.0
222	657.0
223	696.0
224	694.0
225	475.0
226	385.0
227	552.0
228	198.0
4158	72.0
4159	1202.0
229	929.0
4172	972.0
4173	139.0
4174	856.0
4175	120.0
4176	791.0
4177	476.0
4178	777.0
4179	789.0
4170	627.0
230	345.0
4171	901.0
231	493.0
232	145.0
233	993.0
234	705.0
235	713.0
236	958.0
237	339.0
238	1011.0
239	566.0
4169	278.0
4183	574.0
4184	381.0
4185	836.0
4186	370.0
4187	196.0
4188	166.0
4189	662.0
1909	544.0
1908	738.0
4180	698.0
240	285.0
4181	746.0
241	680.0
4182	860.0
242	978.0
243	708.0
244	722.0
245	662.0
246	541.0
247	345.0
248	310.0
249	314.0
1906	501.0
1905	1039.0
1904	535.0
1903	213.0
1902	74.0
1900	418.0
4194	781.0
4195	669.0
4196	666.0
4197	508.0
4198	147.0
4199	425.0
1919	412.0
4190	328.0
4191	726.0
250	1055.0
251	550.0
4192	763.0
252	361.0
4193	761.0
253	622.0
1910	725.0
254	800.0
255	473.0
257	306.0
258	1082.0
1918	537.0
1917	632.0
1916	999.0
1915	552.0
1913	293.0
1912	76.0
1911	877.0
260	713.0
261	413.0
262	450.0
263	95.0
264	557.0
1921	418.0
1920	656.0
265	570.0
266	140.0
267	903.0
268	610.0
1929	801.0
1928	442.0
1927	324.0
1926	773.0
1925	933.0
1923	704.0
1922	525.0
270	738.0
271	357.0
272	279.0
273	965.0
274	1156.0
275	668.0
1932	763.0
276	896.0
277	260.0
1930	714.0
278	211.0
279	681.0
1939	667.0
1938	89.0
1937	820.0
1936	839.0
1935	864.0
1934	1106.0
1933	722.0
280	330.0
281	399.0
282	166.0
283	992.0
284	794.0
285	349.0
1943	511.0
286	537.0
287	345.0
1942	781.0
1941	444.0
289	313.0
1940	570.0
1949	214.0
1948	70.0
1947	318.0
1945	1041.0
1944	564.0
290	751.0
291	444.0
292	483.0
293	279.0
294	548.0
295	374.0
296	708.0
297	115.0
1954	529.0
298	630.0
1953	79.0
299	326.0
1952	490.0
1951	613.0
1950	137.0
1959	406.0
1958	843.0
1957	334.0
1956	436.0
1955	77.0
1965	883.0
1964	202.0
1963	508.0
1962	542.0
1961	533.0
1960	193.0
1969	644.0
1968	1130.0
1967	732.0
1966	854.0
1976	971.0
1975	699.0
1974	623.0
1973	747.0
1971	957.0
1979	873.0
1978	299.0
1977	450.0
1990	689.0
1987	1102.0
1986	481.0
1985	703.0
1984	1062.0
1983	352.0
1982	598.0
1981	375.0
1980	1103.0
1989	805.0
1988	290.0
1998	422.0
1997	616.0
1996	332.0
1995	555.0
1994	350.0
1993	416.0
1992	424.0
1991	362.0
1999	624.0
3704	553.0
3705	1077.0
3706	631.0
3707	210.0
3708	79.0
3709	635.0
3700	456.0
3703	916.0
3715	563.0
3716	490.0
3717	345.0
3718	668.0
3719	920.0
3710	886.0
3711	760.0
3712	370.0
3713	1064.0
3714	744.0
3726	514.0
3727	444.0
3728	524.0
3729	819.0
3720	677.0
3721	896.0
3722	602.0
3723	124.0
3724	1097.0
3725	774.0
2405	202.0
3737	656.0
3738	505.0
2404	258.0
3739	761.0
2403	493.0
2402	421.0
2401	500.0
2400	149.0
3730	774.0
3731	797.0
3732	1096.0
3733	422.0
2409	87.0
2408	326.0
3734	412.0
2407	379.0
3735	669.0
2406	127.0
3736	353.0
3750	711.0
3748	950.0
2416	279.0
2415	819.0
3749	915.0
2414	753.0
2413	334.0
2412	313.0
2411	917.0
2410	983.0
3740	327.0
3741	834.0
3742	73.0
3743	776.0
3744	265.0
2419	1107.0
2418	613.0
3746	810.0
3747	526.0
3760	338.0
3761	498.0
2430	404.0
2427	656.0
3759	734.0
2426	346.0
2425	753.0
2424	310.0
2423	635.0
2422	578.0
2421	574.0
2420	791.0
3751	357.0
3752	560.0
3753	777.0
3754	729.0
3755	308.0
3756	568.0
2429	725.0
3757	1037.0
3758	344.0
2428	1104.0
3770	974.0
3771	152.0
3772	594.0
1110	725.0
2441	272.0
2440	657.0
1107	492.0
2438	133.0
1106	833.0
2437	472.0
2436	177.0
1104	568.0
2435	567.0
2434	250.0
1103	276.0
1102	268.0
1101	681.0
2432	320.0
2431	198.0
1100	189.0
3762	852.0
3763	945.0
3764	758.0
3765	146.0
3766	826.0
3767	116.0
1109	976.0
3768	582.0
2439	591.0
3769	650.0
1108	990.0
3780	589.0
3781	686.0
3782	268.0
3783	127.0
1121	994.0
2452	377.0
2451	464.0
1120	164.0
2449	894.0
1118	909.0
1117	619.0
2448	615.0
1116	345.0
2446	298.0
1115	1012.0
1114	462.0
2445	537.0
1113	160.0
2444	1060.0
1112	480.0
2443	525.0
1111	1057.0
2442	896.0
3773	422.0
3774	1300.0
3775	1131.0
3776	616.0
3777	132.0
3778	835.0
3779	359.0
1119	292.0
3790	761.0
3791	382.0
3792	530.0
3793	656.0
3794	941.0
1132	676.0
1131	347.0
2462	659.0
1130	1144.0
2461	514.0
2460	55.0
1129	357.0
2459	105.0
1128	303.0
2458	695.0
1127	466.0
2457	398.0
2456	260.0
1125	952.0
1124	926.0
2455	734.0
2454	552.0
1123	328.0
2453	488.0
1122	825.0
3784	820.0
3785	883.0
3786	149.0
3788	290.0
3789	859.0
1143	626.0
2474	913.0
1142	776.0
2473	426.0
1141	549.0
2472	294.0
2471	734.0
1140	533.0
2470	288.0
1139	1264.0
1138	1042.0
2469	96.0
2468	494.0
1137	275.0
1136	336.0
2467	663.0
1135	132.0
2466	752.0
1134	233.0
2465	741.0
1133	674.0
2464	512.0
3795	596.0
3796	462.0
3797	819.0
3798	496.0
3799	483.0
2485	186.0
1154	382.0
2484	722.0
1153	807.0
1152	675.0
2483	357.0
2482	623.0
1151	906.0
2481	632.0
1150	573.0
2480	851.0
1149	252.0
1148	517.0
1147	619.0
2478	1108.0
1146	375.0
2477	540.0
2476	695.0
1145	300.0
2475	703.0
1144	590.0
2496	790.0
1165	209.0
2495	687.0
1163	388.0
2494	427.0
2493	379.0
1162	841.0
2492	287.0
1161	698.0
1160	420.0
2491	852.0
2490	1144.0
1159	538.0
2489	925.0
1158	722.0
1157	329.0
2488	493.0
1156	923.0
2487	720.0
2486	266.0
1155	753.0
4200	223.0
4201	360.0
1176	608.0
1175	815.0
1174	1131.0
1173	245.0
1172	329.0
1171	749.0
1170	722.0
1169	527.0
2499	357.0
1168	622.0
2498	391.0
1167	743.0
1166	255.0
4210	641.0
4211	602.0
4212	207.0
1187	584.0
1186	679.0
1185	140.0
1183	249.0
1182	453.0
1181	713.0
1180	460.0
1178	924.0
1177	281.0
4202	632.0
4203	568.0
4204	508.0
4205	273.0
4206	668.0
4207	443.0
4208	879.0
4209	511.0
1190	952.0
4220	424.0
4221	426.0
4222	496.0
4223	98.0
1198	508.0
1197	609.0
1196	596.0
1195	519.0
1194	717.0
1192	983.0
1191	178.0
1189	884.0
1188	1067.0
4213	791.0
4214	942.0
4215	400.0
4216	513.0
4217	508.0
4219	379.0
4230	502.0
4231	446.0
4233	805.0
4234	623.0
1199	312.0
4224	601.0
4225	804.0
4226	632.0
4227	286.0
4228	388.0
4229	324.0
4240	475.0
4241	196.0
4242	906.0
4243	608.0
4245	1009.0
300	564.0
301	664.0
302	904.0
303	741.0
304	268.0
305	259.0
306	734.0
4236	172.0
307	192.0
4238	737.0
308	252.0
4239	420.0
309	197.0
4250	529.0
4251	633.0
4252	96.0
4253	246.0
4254	1144.0
4255	691.0
4256	184.0
310	954.0
312	819.0
313	86.0
314	791.0
315	527.0
4246	674.0
316	848.0
4247	622.0
317	418.0
4248	256.0
319	1264.0
4249	613.0
4260	890.0
4261	178.0
4262	746.0
4263	882.0
4264	598.0
4265	477.0
4266	200.0
4267	700.0
320	357.0
321	464.0
323	753.0
324	493.0
325	1032.0
326	406.0
4257	421.0
327	447.0
328	673.0
4258	299.0
4259	471.0
329	521.0
4271	450.0
4272	763.0
4274	635.0
4275	619.0
4276	136.0
4277	634.0
4278	149.0
4270	448.0
330	236.0
331	734.0
332	676.0
333	164.0
334	265.0
335	1084.0
336	376.0
337	623.0
338	498.0
4268	537.0
339	364.0
4269	503.0
4282	554.0
4283	454.0
4284	942.0
4285	218.0
4286	181.0
4287	251.0
4288	1010.0
