signal id;x;y;time;signal state
530;654499.9005263615;4946533.654630517;18926.0;GREEN
2156;652643.4715158606;4947704.275130741;18926.0;GREEN
2157;652649.6968765225;4947701.159576189;18926.0;GREEN
763;652965.8020270551;4946861.410030423;18926.0;GREEN
202;654538.4066623301;4946540.811418572;18926.0;GREEN
1866;654509.6311381037;4946514.599568103;18926.0;GREEN
352;654510.3913899665;4946528.555217131;18926.0;GREEN
527;654515.7350875862;4946496.930319629;18946.0;GREEN
530;654499.9005263615;4946533.654630517;18946.0;RED
2153;652679.2672700504;4947686.42468062;18946.0;GREEN
2156;652643.4715158606;4947704.275130741;18946.0;RED
2157;652649.6968765225;4947701.159576189;18946.0;RED
2160;652613.7229381826;4947718.648865293;18946.0;GREEN
763;652965.8020270551;4946861.410030423;18946.0;GREEN
202;654538.4066623301;4946540.811418572;18946.0;RED
205;654501.7450862566;4946524.813642484;18946.0;GREEN
1866;654509.6311381037;4946514.599568103;18946.0;RED
1869;654491.2132318158;4946550.092172825;18946.0;GREEN
352;654510.3913899665;4946528.555217131;18946.0;RED
355;654473.8721333703;4946512.242822346;18946.0;GREEN
527;654515.7350875862;4946496.930319629;18966.0;RED
530;654499.9005263615;4946533.654630517;18966.0;GREEN
2153;652679.2672700504;4947686.42468062;18966.0;RED
2156;652643.4715158606;4947704.275130741;18966.0;GREEN
2157;652649.6968765225;4947701.159576189;18966.0;GREEN
2160;652613.7229381826;4947718.648865293;18966.0;RED
763;652965.8020270551;4946861.410030423;18966.0;GREEN
202;654538.4066623301;4946540.811418572;18966.0;GREEN
205;654501.7450862566;4946524.813642484;18966.0;RED
1866;654509.6311381037;4946514.599568103;18966.0;GREEN
1869;654491.2132318158;4946550.092172825;18966.0;RED
352;654510.3913899665;4946528.555217131;18966.0;GREEN
355;654473.8721333703;4946512.242822346;18966.0;RED
527;654515.7350875862;4946496.930319629;18986.0;GREEN
530;654499.9005263615;4946533.654630517;18986.0;RED
2153;652679.2672700504;4947686.42468062;18986.0;GREEN
2156;652643.4715158606;4947704.275130741;18986.0;RED
2157;652649.6968765225;4947701.159576189;18986.0;RED
2160;652613.7229381826;4947718.648865293;18986.0;GREEN
763;652965.8020270551;4946861.410030423;18986.0;GREEN
202;654538.4066623301;4946540.811418572;18986.0;RED
205;654501.7450862566;4946524.813642484;18986.0;GREEN
1866;654509.6311381037;4946514.599568103;18986.0;RED
1869;654491.2132318158;4946550.092172825;18986.0;GREEN
352;654510.3913899665;4946528.555217131;18986.0;RED
355;654473.8721333703;4946512.242822346;18986.0;GREEN
527;654515.7350875862;4946496.930319629;19006.0;RED
530;654499.9005263615;4946533.654630517;19006.0;GREEN
2153;652679.2672700504;4947686.42468062;19006.0;RED
2156;652643.4715158606;4947704.275130741;19006.0;GREEN
2157;652649.6968765225;4947701.159576189;19006.0;GREEN
2160;652613.7229381826;4947718.648865293;19006.0;RED
763;652965.8020270551;4946861.410030423;19006.0;GREEN
202;654538.4066623301;4946540.811418572;19006.0;GREEN
205;654501.7450862566;4946524.813642484;19006.0;RED
1866;654509.6311381037;4946514.599568103;19006.0;GREEN
1869;654491.2132318158;4946550.092172825;19006.0;RED
352;654510.3913899665;4946528.555217131;19006.0;GREEN
355;654473.8721333703;4946512.242822346;19006.0;RED
527;654515.7350875862;4946496.930319629;19026.0;GREEN
530;654499.9005263615;4946533.654630517;19026.0;RED
2153;652679.2672700504;4947686.42468062;19026.0;GREEN
2156;652643.4715158606;4947704.275130741;19026.0;RED
2157;652649.6968765225;4947701.159576189;19026.0;RED
2160;652613.7229381826;4947718.648865293;19026.0;GREEN
763;652965.8020270551;4946861.410030423;19026.0;GREEN
202;654538.4066623301;4946540.811418572;19026.0;RED
205;654501.7450862566;4946524.813642484;19026.0;GREEN
1866;654509.6311381037;4946514.599568103;19026.0;RED
1869;654491.2132318158;4946550.092172825;19026.0;GREEN
352;654510.3913899665;4946528.555217131;19026.0;RED
355;654473.8721333703;4946512.242822346;19026.0;GREEN
527;654515.7350875862;4946496.930319629;19046.0;RED
530;654499.9005263615;4946533.654630517;19046.0;GREEN
2153;652679.2672700504;4947686.42468062;19046.0;RED
2156;652643.4715158606;4947704.275130741;19046.0;GREEN
2157;652649.6968765225;4947701.159576189;19046.0;GREEN
2160;652613.7229381826;4947718.648865293;19046.0;RED
