Time	MaxFlow
33287.0	152
66575.0	582
37383.0	316
74767.0	664
41479.0	342
82959.0	664
45575.0	344
49671.0	344
53767.0	344
57863.0	350
61959.0	396
66574.0	582
74766.0	664
20739.0	0
82958.0	664
22787.0	2
24835.0	4
26883.0	4
28931.0	6
30979.0	6
33286.0	152
66573.0	582
37382.0	316
74765.0	664
41478.0	342
82957.0	664
45574.0	344
49670.0	344
53766.0	344
57862.0	350
61958.0	396
66572.0	582
74764.0	664
82956.0	664
33285.0	150
66571.0	582
37381.0	316
74763.0	664
41477.0	342
82955.0	664
45573.0	344
49669.0	344
53765.0	344
57861.0	350
61957.0	396
66570.0	582
74762.0	664
20738.0	0
82954.0	664
22786.0	2
24834.0	4
26882.0	4
28930.0	6
30978.0	6
33284.0	150
66569.0	582
37380.0	316
74761.0	664
41476.0	342
82953.0	664
45572.0	344
49668.0	344
53764.0	344
57860.0	350
61956.0	396
66568.0	582
74760.0	664
82952.0	664
33283.0	150
66567.0	582
37379.0	316
74759.0	664
41475.0	342
82951.0	664
45571.0	344
49667.0	344
53763.0	344
57859.0	350
61955.0	396
66566.0	582
74758.0	664
20737.0	0
82950.0	664
22785.0	2
24833.0	4
26881.0	4
28929.0	6
30977.0	6
33282.0	150
66565.0	580
37378.0	314
74757.0	664
41474.0	342
82949.0	664
45570.0	344
49666.0	344
53762.0	344
57858.0	350
61954.0	396
66564.0	580
74756.0	664
82948.0	664
33281.0	150
66563.0	580
37377.0	314
74755.0	664
41473.0	342
82947.0	664
45569.0	344
49665.0	344
53761.0	344
57857.0	350
61953.0	396
66562.0	580
74754.0	664
20736.0	0
82946.0	664
22784.0	2
24832.0	4
26880.0	6
28928.0	6
30976.0	8
33280.0	150
66561.0	580
37376.0	314
74753.0	664
41472.0	342
82945.0	664
45568.0	344
49664.0	344
53760.0	344
57856.0	350
61952.0	396
66560.0	580
74752.0	664
82944.0	664
33295.0	152
66591.0	584
37391.0	316
74783.0	664
41487.0	342
82975.0	664
45583.0	344
49679.0	344
53775.0	344
57871.0	350
61967.0	396
66590.0	584
74782.0	664
20743.0	0
82974.0	664
22791.0	2
24839.0	4
26887.0	4
28935.0	6
30983.0	6
33294.0	152
66589.0	584
37390.0	316
74781.0	664
41486.0	342
82973.0	664
45582.0	344
49678.0	344
53774.0	344
57870.0	350
61966.0	396
66588.0	584
74780.0	664
82972.0	664
33293.0	152
66587.0	584
37389.0	316
74779.0	664
41485.0	342
82971.0	664
45581.0	344
49677.0	344
53773.0	344
57869.0	350
61965.0	396
66586.0	584
74778.0	664
20742.0	0
82970.0	664
22790.0	2
24838.0	4
26886.0	4
28934.0	6
30982.0	6
33292.0	152
66585.0	584
37388.0	316
74777.0	664
41484.0	342
82969.0	664
45580.0	344
49676.0	344
53772.0	344
57868.0	350
61964.0	396
66584.0	584
74776.0	664
82968.0	664
33291.0	152
66583.0	582
37387.0	316
74775.0	664
41483.0	342
82967.0	664
45579.0	344
49675.0	344
53771.0	344
57867.0	350
61963.0	396
66582.0	582
74774.0	664
20741.0	0
82966.0	664
22789.0	2
24837.0	4
26885.0	4
28933.0	6
30981.0	8
33290.0	152
66581.0	582
37386.0	316
74773.0	664
41482.0	342
82965.0	664
45578.0	344
49674.0	344
53770.0	344
57866.0	350
61962.0	396
66580.0	582
74772.0	664
82964.0	664
33289.0	152
66579.0	582
37385.0	316
74771.0	664
41481.0	342
82963.0	664
45577.0	344
49673.0	344
53769.0	344
57865.0	350
61961.0	396
66578.0	582
74770.0	664
20740.0	0
82962.0	664
22788.0	2
24836.0	4
26884.0	4
28932.0	6
30980.0	6
33288.0	152
66577.0	582
37384.0	316
74769.0	664
41480.0	342
82961.0	664
45576.0	344
49672.0	344
53768.0	344
57864.0	350
61960.0	396
66576.0	582
74768.0	664
82960.0	664
33303.0	154
66607.0	584
37399.0	316
74799.0	664
41495.0	342
82991.0	664
45591.0	344
49687.0	344
53783.0	344
57879.0	350
61975.0	396
66606.0	584
74798.0	664
20747.0	0
82990.0	664
22795.0	2
24843.0	4
26891.0	4
28939.0	6
30987.0	8
33302.0	154
66605.0	584
37398.0	316
74797.0	664
41494.0	342
82989.0	664
45590.0	344
49686.0	344
53782.0	344
57878.0	350
61974.0	396
66604.0	584
74796.0	664
82988.0	664
33301.0	154
66603.0	584
37397.0	316
74795.0	664
41493.0	342
82987.0	664
45589.0	344
49685.0	344
53781.0	344
57877.0	350
61973.0	396
66602.0	584
74794.0	664
20746.0	0
82986.0	664
22794.0	2
24842.0	4
26890.0	4
28938.0	6
30986.0	8
33300.0	154
66601.0	584
37396.0	316
74793.0	664
41492.0	342
82985.0	664
45588.0	344
49684.0	344
53780.0	344
57876.0	350
61972.0	396
66600.0	584
74792.0	664
82984.0	664
33299.0	154
66599.0	584
37395.0	316
74791.0	664
41491.0	342
82983.0	664
45587.0	344
49683.0	344
53779.0	344
57875.0	350
61971.0	396
66598.0	584
74790.0	664
20745.0	0
82982.0	664
22793.0	2
24841.0	4
26889.0	4
28937.0	6
30985.0	8
33298.0	154
66597.0	584
37394.0	316
74789.0	664
41490.0	342
82981.0	664
45586.0	344
49682.0	344
53778.0	344
57874.0	350
61970.0	396
66596.0	584
74788.0	664
82980.0	664
33297.0	154
66595.0	584
37393.0	316
74787.0	664
41489.0	342
82979.0	664
45585.0	344
49681.0	344
53777.0	344
57873.0	350
61969.0	396
66594.0	584
74786.0	664
20744.0	0
82978.0	664
22792.0	2
24840.0	4
26888.0	4
28936.0	6
30984.0	6
33296.0	152
66593.0	584
37392.0	316
74785.0	664
41488.0	342
82977.0	664
45584.0	344
49680.0	344
53776.0	344
57872.0	350
61968.0	396
66592.0	584
74784.0	664
82976.0	664
33311.0	154
66623.0	584
37407.0	316
74815.0	664
41503.0	342
83007.0	664
45599.0	344
49695.0	344
53791.0	344
57887.0	350
61983.0	396
66622.0	584
74814.0	664
20751.0	0
83006.0	664
22799.0	2
24847.0	4
26895.0	6
28943.0	6
30991.0	6
33310.0	154
66621.0	584
37406.0	316
74813.0	664
41502.0	342
83005.0	664
45598.0	344
49694.0	344
53790.0	344
57886.0	350
61982.0	396
66620.0	584
74812.0	664
83004.0	664
33309.0	154
66619.0	584
37405.0	316
74811.0	664
41501.0	342
83003.0	664
45597.0	344
49693.0	344
53789.0	344
57885.0	350
61981.0	396
66618.0	584
74810.0	664
20750.0	0
83002.0	664
22798.0	2
24846.0	4
26894.0	4
28942.0	6
30990.0	6
33308.0	154
66617.0	584
37404.0	316
74809.0	664
41500.0	342
83001.0	664
45596.0	344
49692.0	344
53788.0	344
57884.0	350
61980.0	396
66616.0	584
74808.0	664
83000.0	664
33307.0	154
66615.0	584
37403.0	316
74807.0	664
41499.0	342
82999.0	664
45595.0	344
49691.0	344
53787.0	344
57883.0	350
61979.0	396
66614.0	584
74806.0	664
20749.0	0
82998.0	664
22797.0	2
24845.0	4
26893.0	4
28941.0	6
30989.0	6
33306.0	154
66613.0	584
37402.0	316
74805.0	664
41498.0	342
82997.0	664
45594.0	344
49690.0	344
53786.0	344
57882.0	350
61978.0	396
66612.0	584
74804.0	664
82996.0	664
33305.0	154
66611.0	584
37401.0	316
74803.0	664
41497.0	342
82995.0	664
45593.0	344
49689.0	344
53785.0	344
57881.0	350
61977.0	396
66610.0	584
74802.0	664
20748.0	0
82994.0	664
22796.0	2
24844.0	4
26892.0	4
28940.0	6
30988.0	6
33304.0	154
66609.0	584
37400.0	316
74801.0	664
41496.0	342
82993.0	664
45592.0	344
49688.0	344
53784.0	344
57880.0	350
61976.0	396
66608.0	584
74800.0	664
82992.0	664
33319.0	154
66639.0	584
37415.0	316
74831.0	664
41511.0	342
83023.0	664
45607.0	344
49703.0	344
53799.0	344
57895.0	350
61991.0	396
66638.0	584
74830.0	664
20755.0	0
83022.0	664
22803.0	2
24851.0	4
26899.0	6
28947.0	6
30995.0	6
33318.0	154
66637.0	584
37414.0	316
74829.0	664
41510.0	342
83021.0	664
45606.0	344
49702.0	344
53798.0	344
57894.0	350
61990.0	396
66636.0	584
74828.0	664
83020.0	664
33317.0	154
66635.0	584
37413.0	316
74827.0	664
41509.0	342
83019.0	664
45605.0	344
49701.0	344
53797.0	344
57893.0	350
61989.0	396
66634.0	584
74826.0	664
20754.0	0
83018.0	664
22802.0	2
24850.0	4
26898.0	6
28946.0	6
30994.0	6
33316.0	154
66633.0	584
37412.0	316
74825.0	664
41508.0	342
83017.0	664
45604.0	344
49700.0	344
53796.0	344
57892.0	350
61988.0	396
66632.0	584
74824.0	664
83016.0	664
33315.0	154
66631.0	584
37411.0	316
74823.0	664
41507.0	342
83015.0	664
45603.0	344
49699.0	344
53795.0	344
57891.0	350
61987.0	396
66630.0	584
74822.0	664
20753.0	0
83014.0	664
22801.0	2
24849.0	4
26897.0	6
28945.0	6
30993.0	6
33314.0	154
66629.0	584
37410.0	316
74821.0	664
41506.0	342
83013.0	664
45602.0	344
49698.0	344
53794.0	344
57890.0	350
61986.0	396
66628.0	584
74820.0	664
83012.0	664
33313.0	154
66627.0	584
37409.0	316
74819.0	664
41505.0	342
83011.0	664
45601.0	344
49697.0	344
53793.0	344
57889.0	350
61985.0	396
66626.0	584
74818.0	664
20752.0	0
83010.0	664
22800.0	2
24848.0	4
26896.0	6
28944.0	6
30992.0	8
33312.0	154
66625.0	584
37408.0	316
74817.0	664
41504.0	342
83009.0	664
45600.0	344
49696.0	344
53792.0	344
57888.0	350
61984.0	396
66624.0	584
74816.0	664
83008.0	664
33327.0	156
66655.0	584
37423.0	316
74847.0	664
41519.0	342
83039.0	664
45615.0	344
49711.0	344
53807.0	344
57903.0	350
61999.0	396
66654.0	584
74846.0	664
20759.0	0
83038.0	664
22807.0	2
24855.0	4
26903.0	6
28951.0	8
30999.0	6
33326.0	156
66653.0	584
37422.0	316
74845.0	664
41518.0	342
83037.0	664
45614.0	344
