signal id;x;y;time;signal state
573;652947.2611958925;4946850.506430621;19717.0;GREEN
184;652965.8020270551;4946861.410030423;19737.0;GREEN
573;652947.2611958925;4946850.506430621;19737.0;RED
184;652965.8020270551;4946861.410030423;19757.0;RED
584;652948.6835875768;4946890.48112624;19757.0;GREEN
584;652948.6835875768;4946890.48112624;19777.0;RED
996;652930.48750213;4946880.182705872;19777.0;GREEN
573;652947.2611958925;4946850.506430621;19797.0;GREEN
996;652930.48750213;4946880.182705872;19797.0;RED
184;652965.8020270551;4946861.410030423;19817.0;GREEN
573;652947.2611958925;4946850.506430621;19817.0;RED
184;652965.8020270551;4946861.410030423;19837.0;RED
584;652948.6835875768;4946890.48112624;19837.0;GREEN
584;652948.6835875768;4946890.48112624;19857.0;RED
996;652930.48750213;4946880.182705872;19857.0;GREEN
573;652947.2611958925;4946850.506430621;19877.0;GREEN
996;652930.48750213;4946880.182705872;19877.0;RED
184;652965.8020270551;4946861.410030423;19897.0;GREEN
573;652947.2611958925;4946850.506430621;19897.0;RED
184;652965.8020270551;4946861.410030423;19917.0;RED
584;652948.6835875768;4946890.48112624;19917.0;GREEN
584;652948.6835875768;4946890.48112624;19937.0;RED
996;652930.48750213;4946880.182705872;19937.0;GREEN
573;652947.2611958925;4946850.506430621;19957.0;GREEN
996;652930.48750213;4946880.182705872;19957.0;RED
184;652965.8020270551;4946861.410030423;19977.0;GREEN
573;652947.2611958925;4946850.506430621;19977.0;RED
184;652965.8020270551;4946861.410030423;19997.0;RED
584;652948.6835875768;4946890.48112624;19997.0;GREEN
584;652948.6835875768;4946890.48112624;20017.0;RED
996;652930.48750213;4946880.182705872;20017.0;GREEN
573;652947.2611958925;4946850.506430621;20037.0;GREEN
996;652930.48750213;4946880.182705872;20037.0;RED
184;652965.8020270551;4946861.410030423;20057.0;GREEN
573;652947.2611958925;4946850.506430621;20057.0;RED
184;652965.8020270551;4946861.410030423;20077.0;RED
584;652948.6835875768;4946890.48112624;20077.0;GREEN
584;652948.6835875768;4946890.48112624;20097.0;RED
996;652930.48750213;4946880.182705872;20097.0;GREEN
573;652947.2611958925;4946850.506430621;20117.0;GREEN
996;652930.48750213;4946880.182705872;20117.0;RED
184;652965.8020270551;4946861.410030423;20137.0;GREEN
573;652947.2611958925;4946850.506430621;20137.0;RED
184;652965.8020270551;4946861.410030423;20157.0;RED
584;652948.6835875768;4946890.48112624;20157.0;GREEN
584;652948.6835875768;4946890.48112624;20177.0;RED
996;652930.48750213;4946880.182705872;20177.0;GREEN
573;652947.2611958925;4946850.506430621;20197.0;GREEN
996;652930.48750213;4946880.182705872;20197.0;RED
184;652965.8020270551;4946861.410030423;20217.0;GREEN
