Person	Duration
4970	585.0
4971	995.0
3640	607.0
2306	634.0
3638	661.0
4969	475.0
3639	448.0
2305	677.0
2304	2351.0
2303	899.0
2302	1277.0
2301	484.0
2300	261.0
4961	323.0
3631	719.0
4962	547.0
3632	330.0
4963	707.0
4964	1123.0
3633	998.0
4965	571.0
3634	803.0
2309	994.0
3635	573.0
4966	502.0
3636	1152.0
2308	630.0
4967	808.0
2307	553.0
4968	1217.0
3637	731.0
4980	839.0
4981	710.0
3650	446.0
4982	1246.0
3651	1313.0
2320	952.0
3649	603.0
0	1163.0
2317	588.0
1	877.0
2316	563.0
2315	738.0
2	841.0
3	327.0
2314	532.0
4	831.0
2313	683.0
5	230.0
2312	1033.0
2311	750.0
6	483.0
7	217.0
2310	366.0
3641	596.0
4972	686.0
8	518.0
9	572.0
4973	392.0
3642	1228.0
3643	287.0
4974	838.0
3644	1013.0
4975	581.0
3645	1087.0
4976	750.0
3646	347.0
4977	553.0
2319	1056.0
4978	1042.0
3647	509.0
3648	408.0
4979	708.0
2318	824.0
4990	373.0
4991	1555.0
3660	868.0
3661	565.0
4992	729.0
3662	476.0
4993	786.0
2331	911.0
1000	749.0
2330	1319.0
2328	793.0
2327	415.0
2326	206.0
2325	1350.0
2324	545.0
2322	552.0
2321	768.0
4983	634.0
3652	410.0
3653	610.0
4984	444.0
3654	504.0
4985	271.0
4986	1493.0
3655	826.0
4987	755.0
3656	871.0
4988	383.0
3657	1303.0
4989	338.0
3658	689.0
3659	425.0
2329	1138.0
3670	488.0
3671	576.0
3672	203.0
3673	676.0
1011	298.0
2342	551.0
1010	100.0
2341	359.0
2340	408.0
1008	844.0
2338	368.0
1007	345.0
1006	935.0
2337	614.0
1005	349.0
2336	741.0
2335	882.0
1004	231.0
1003	519.0
2334	485.0
2333	403.0
1002	352.0
1001	524.0
2332	725.0
4994	1250.0
3663	1134.0
3664	511.0
4995	574.0
3665	474.0
4996	581.0
3666	988.0
4997	246.0
4998	1196.0
3667	315.0
3668	385.0
4999	697.0
3669	542.0
1009	251.0
3680	1206.0
3681	895.0
3682	558.0
3683	479.0
1022	509.0
2353	561.0
2352	1059.0
1021	771.0
1020	746.0
2350	453.0
1019	317.0
1018	655.0
2349	556.0
2348	387.0
1017	583.0
1016	1497.0
2347	394.0
2346	1097.0
2345	547.0
1014	454.0
2344	560.0
1013	726.0
1012	433.0
2343	1797.0
3674	718.0
3675	705.0
3676	955.0
3677	822.0
3678	1210.0
3679	725.0
3690	900.0
3691	394.0
3693	1177.0
3694	1946.0
3695	1061.0
2364	877.0
1033	340.0
1032	1186.0
2363	1011.0
1031	475.0
2362	415.0
2361	335.0
1030	1267.0
2360	290.0
1029	870.0
2359	680.0
1028	756.0
1027	812.0
2358	758.0
2357	928.0
1026	624.0
2356	243.0
1025	892.0
1024	547.0
2355	1169.0
1023	498.0
2354	196.0
3685	594.0
3686	831.0
3687	766.0
3688	534.0
3689	477.0
2375	933.0
1044	861.0
2374	1037.0
1043	738.0
2373	520.0
1042	1096.0
2372	1044.0
1041	1026.0
1040	1159.0
2371	325.0
2370	1011.0
1039	542.0
1038	263.0
2369	788.0
1037	745.0
2368	503.0
1036	839.0
2367	307.0
2366	428.0
1035	392.0
1034	1142.0
2365	949.0
3696	951.0
3697	716.0
3698	238.0
3699	567.0
2386	823.0
1055	599.0
2385	495.0
1054	487.0
1053	623.0
2384	1417.0
1052	943.0
2383	815.0
1051	737.0
2382	426.0
1050	1043.0
2381	747.0
2380	558.0
1049	1193.0
2379	426.0
1048	855.0
2378	1136.0
1047	954.0
2377	854.0
1046	1023.0
1045	782.0
2397	885.0
1066	581.0
2396	161.0
1065	326.0
1064	1348.0
2395	940.0
2394	416.0
1063	1321.0
1062	1008.0
2393	421.0
1061	805.0
2392	275.0
2391	737.0
1060	385.0
2390	722.0
1059	493.0
2389	330.0
1058	784.0
1057	429.0
2388	474.0
1056	638.0
2387	982.0
4100	409.0
4101	356.0
4102	175.0
1077	337.0
1075	1057.0
1074	1719.0
1073	486.0
1072	600.0
1071	765.0
1070	453.0
1069	1113.0
2399	1847.0
1068	300.0
1067	725.0
2398	355.0
1080	731.0
4110	356.0
4111	571.0
4112	1176.0
4113	436.0
1088	261.0
1087	835.0
1086	809.0
1085	1291.0
1084	443.0
1083	813.0
1082	292.0
1081	736.0
1079	859.0
1078	175.0
4103	613.0
4104	665.0
4105	394.0
4106	645.0
4107	351.0
4108	1265.0
4109	846.0
1091	945.0
1090	667.0
4120	931.0
4121	701.0
4122	1075.0
4123	379.0
4124	810.0
1099	498.0
1098	506.0
1097	1291.0
1096	750.0
1094	610.0
1092	712.0
1089	107.0
4114	711.0
4115	1238.0
4116	1128.0
4117	79.0
4118	1114.0
4119	203.0
4130	945.0
4131	1115.0
4132	507.0
4133	689.0
4134	409.0
4135	724.0
4125	1318.0
4126	252.0
4127	506.0
4128	689.0
4129	919.0
4140	252.0
4141	1128.0
4142	1207.0
4143	1283.0
4144	1449.0
4145	565.0
4146	469.0
200	932.0
201	355.0
202	451.0
203	757.0
204	376.0
205	244.0
4136	327.0
4137	730.0
207	279.0
208	1572.0
4138	525.0
4139	521.0
209	1019.0
4150	981.0
4151	730.0
4152	974.0
4153	1093.0
4154	1242.0
4155	232.0
4156	714.0
4157	501.0
210	456.0
211	217.0
212	415.0
214	178.0
215	1312.0
216	753.0
217	928.0
4147	872.0
218	581.0
4148	602.0
4149	846.0
219	698.0
4161	315.0
4162	419.0
4163	502.0
4164	2077.0
4165	507.0
4166	152.0
4167	699.0
4168	1018.0
4160	719.0
220	386.0
221	921.0
222	624.0
223	337.0
224	1201.0
225	857.0
226	439.0
227	1507.0
4158	1322.0
228	1016.0
4159	934.0
229	1253.0
4172	657.0
4173	1587.0
4174	1076.0
4175	1585.0
4176	201.0
4177	671.0
4178	934.0
4179	584.0
4170	271.0
230	722.0
4171	793.0
231	1211.0
232	601.0
233	573.0
234	1939.0
235	544.0
236	2009.0
237	1588.0
238	1760.0
239	235.0
4169	924.0
4183	696.0
4184	502.0
4185	980.0
4186	557.0
4187	249.0
4188	505.0
4189	1447.0
1909	974.0
1908	350.0
4180	619.0
4181	433.0
241	798.0
4182	757.0
242	807.0
244	1193.0
245	292.0
246	897.0
247	1328.0
248	1395.0
249	631.0
1907	834.0
1906	614.0
1905	475.0
1904	318.0
1903	752.0
1902	957.0
1901	757.0
1900	630.0
4194	1881.0
