Time	MaxFlow
33287.0	64
66575.0	160
37383.0	112
74767.0	184
41479.0	120
82959.0	184
45575.0	120
49671.0	120
53767.0	120
57863.0	122
61959.0	130
66574.0	160
18691.0	2
74766.0	184
20739.0	2
82958.0	184
22787.0	2
24835.0	4
26883.0	8
28931.0	10
30979.0	16
33286.0	64
66573.0	160
37382.0	112
74765.0	184
41478.0	120
82957.0	184
45574.0	120
49670.0	120
53766.0	120
57862.0	122
61958.0	130
66572.0	160
74764.0	184
82956.0	184
33285.0	64
66571.0	160
37381.0	112
74763.0	184
41477.0	120
82955.0	184
45573.0	120
49669.0	120
53765.0	120
57861.0	122
61957.0	130
66570.0	160
18690.0	2
74762.0	184
20738.0	2
82954.0	184
22786.0	2
24834.0	4
26882.0	6
28930.0	10
30978.0	16
33284.0	64
66569.0	160
37380.0	112
74761.0	184
41476.0	120
82953.0	184
45572.0	120
49668.0	120
53764.0	120
57860.0	122
61956.0	130
66568.0	160
74760.0	184
82952.0	184
33283.0	64
66567.0	160
37379.0	112
74759.0	184
41475.0	120
82951.0	184
45571.0	120
49667.0	120
53763.0	120
57859.0	122
61955.0	130
66566.0	160
18689.0	2
74758.0	184
20737.0	2
82950.0	184
22785.0	2
24833.0	4
26881.0	6
28929.0	10
30977.0	16
33282.0	64
66565.0	160
37378.0	112
74757.0	184
41474.0	120
82949.0	184
45570.0	120
49666.0	120
53762.0	120
57858.0	122
61954.0	130
66564.0	160
74756.0	184
82948.0	184
33281.0	64
66563.0	160
37377.0	112
74755.0	184
41473.0	120
82947.0	184
45569.0	120
49665.0	120
53761.0	120
57857.0	122
61953.0	130
66562.0	160
18688.0	2
74754.0	184
20736.0	2
82946.0	184
22784.0	2
24832.0	4
26880.0	6
28928.0	10
30976.0	16
33280.0	64
66561.0	160
37376.0	112
74753.0	184
41472.0	120
82945.0	184
45568.0	120
49664.0	120
53760.0	120
57856.0	122
61952.0	130
66560.0	160
74752.0	184
82944.0	184
33295.0	64
66591.0	160
37391.0	112
74783.0	184
41487.0	120
82975.0	184
45583.0	120
49679.0	120
53775.0	120
57871.0	122
61967.0	130
66590.0	160
18695.0	2
74782.0	184
20743.0	2
82974.0	184
22791.0	2
24839.0	4
26887.0	4
28935.0	8
30983.0	16
33294.0	64
66589.0	160
37390.0	112
74781.0	184
41486.0	120
82973.0	184
45582.0	120
49678.0	120
53774.0	120
57870.0	122
61966.0	130
66588.0	160
74780.0	184
82972.0	184
33293.0	64
66587.0	160
37389.0	112
74779.0	184
41485.0	120
82971.0	184
45581.0	120
49677.0	120
53773.0	120
57869.0	122
61965.0	130
66586.0	160
18694.0	2
74778.0	184
20742.0	2
82970.0	184
22790.0	2
24838.0	4
26886.0	4
28934.0	8
30982.0	16
33292.0	64
66585.0	160
37388.0	112
74777.0	184
41484.0	120
82969.0	184
45580.0	120
49676.0	120
53772.0	120
57868.0	122
61964.0	130
66584.0	160
74776.0	184
82968.0	184
33291.0	64
66583.0	160
37387.0	112
74775.0	184
41483.0	120
82967.0	184
45579.0	120
49675.0	120
53771.0	120
57867.0	122
61963.0	130
66582.0	160
18693.0	2
74774.0	184
20741.0	2
82966.0	184
22789.0	2
24837.0	4
26885.0	4
28933.0	8
30981.0	16
33290.0	64
66581.0	160
37386.0	112
74773.0	184
41482.0	120
82965.0	184
45578.0	120
49674.0	120
53770.0	120
57866.0	122
61962.0	130
66580.0	160
74772.0	184
82964.0	184
33289.0	64
66579.0	160
37385.0	112
74771.0	184
41481.0	120
82963.0	184
45577.0	120
49673.0	120
53769.0	120
57865.0	122
61961.0	130
66578.0	160
18692.0	2
74770.0	184
20740.0	2
82962.0	184
22788.0	2
24836.0	4
26884.0	6
28932.0	8
30980.0	16
33288.0	64
66577.0	160
37384.0	112
74769.0	184
41480.0	120
82961.0	184
45576.0	120
49672.0	120
53768.0	120
57864.0	122
61960.0	130
66576.0	160
74768.0	184
82960.0	184
33303.0	64
66607.0	160
37399.0	112
74799.0	184
41495.0	120
82991.0	184
45591.0	120
49687.0	120
53783.0	120
57879.0	122
61975.0	130
66606.0	160
18699.0	2
74798.0	184
20747.0	2
82990.0	184
22795.0	2
24843.0	4
26891.0	6
28939.0	8
30987.0	16
33302.0	64
66605.0	160
37398.0	112
74797.0	184
41494.0	120
82989.0	184
45590.0	120
49686.0	120
53782.0	120
57878.0	122
61974.0	130
66604.0	160
74796.0	184
82988.0	184
33301.0	64
66603.0	160
37397.0	112
74795.0	184
41493.0	120
82987.0	184
45589.0	120
49685.0	120
53781.0	120
57877.0	122
61973.0	130
66602.0	160
18698.0	2
74794.0	184
20746.0	2
82986.0	184
22794.0	2
24842.0	4
26890.0	6
28938.0	8
30986.0	16
33300.0	64
66601.0	160
37396.0	112
74793.0	184
41492.0	120
82985.0	184
45588.0	120
49684.0	120
53780.0	120
57876.0	122
61972.0	130
66600.0	160
74792.0	184
82984.0	184
33299.0	64
66599.0	160
37395.0	112
74791.0	184
41491.0	120
82983.0	184
45587.0	120
49683.0	120
53779.0	120
57875.0	122
61971.0	130
66598.0	160
18697.0	2
74790.0	184
20745.0	2
82982.0	184
22793.0	2
24841.0	4
26889.0	6
28937.0	8
30985.0	16
33298.0	64
66597.0	160
37394.0	112
74789.0	184
41490.0	120
82981.0	184
45586.0	120
49682.0	120
53778.0	120
57874.0	122
61970.0	130
66596.0	160
74788.0	184
82980.0	184
33297.0	64
66595.0	160
37393.0	112
74787.0	184
41489.0	120
82979.0	184
45585.0	120
49681.0	120
53777.0	120
57873.0	122
61969.0	130
66594.0	160
18696.0	2
74786.0	184
20744.0	2
82978.0	184
22792.0	2
24840.0	4
26888.0	4
28936.0	8
30984.0	16
33296.0	64
66593.0	160
37392.0	112
74785.0	184
41488.0	120
82977.0	184
45584.0	120
49680.0	120
53776.0	120
57872.0	122
61968.0	130
66592.0	160
74784.0	184
82976.0	184
33311.0	64
66623.0	162
37407.0	112
74815.0	184
41503.0	120
83007.0	184
45599.0	120
49695.0	120
53791.0	120
57887.0	122
61983.0	130
66622.0	162
18703.0	2
74814.0	184
20751.0	2
83006.0	184
22799.0	2
24847.0	4
26895.0	6
28943.0	8
30991.0	16
33310.0	64
66621.0	162
37406.0	112
74813.0	184
41502.0	120
83005.0	184
45598.0	120
49694.0	120
53790.0	120
57886.0	122
61982.0	130
66620.0	162
74812.0	184
83004.0	184
33309.0	64
66619.0	162
37405.0	112
74811.0	184
41501.0	120
83003.0	184
45597.0	120
49693.0	120
53789.0	120
57885.0	122
61981.0	130
66618.0	162
18702.0	2
74810.0	184
20750.0	2
83002.0	184
22798.0	2
24846.0	4
26894.0	8
28942.0	8
30990.0	16
33308.0	64
66617.0	162
37404.0	112
74809.0	184
41500.0	120
83001.0	184
45596.0	120
49692.0	120
53788.0	120
57884.0	122
61980.0	130
66616.0	162
74808.0	184
83000.0	184
33307.0	64
66615.0	162
37403.0	112
74807.0	184
41499.0	120
82999.0	184
45595.0	120
49691.0	120
53787.0	120
57883.0	122
61979.0	130
66614.0	162
18701.0	2
74806.0	184
20749.0	2
82998.0	184
22797.0	2
24845.0	4
26893.0	8
28941.0	8
30989.0	16
33306.0	64
66613.0	160
37402.0	112
74805.0	184
41498.0	120
82997.0	184
45594.0	120
49690.0	120
53786.0	120
57882.0	122
61978.0	130
66612.0	160
74804.0	184
82996.0	184
33305.0	64
66611.0	160
37401.0	112
74803.0	184
41497.0	120
82995.0	184
45593.0	120
49689.0	120
53785.0	120
57881.0	122
61977.0	130
66610.0	160
18700.0	2
74802.0	184
20748.0	2
82994.0	184
22796.0	2
24844.0	4
26892.0	8
28940.0	8
30988.0	16
33304.0	64
66609.0	160
37400.0	112
74801.0	184
41496.0	120
82993.0	184
45592.0	120
49688.0	120
53784.0	120
57880.0	122
61976.0	130
66608.0	160
74800.0	184
82992.0	184
33319.0	64
66639.0	162
37415.0	112
74831.0	184
41511.0	120
83023.0	184
45607.0	120
49703.0	120
53799.0	120
57895.0	122
61991.0	130
66638.0	162
18707.0	2
74830.0	184
20755.0	2
83022.0	184
22803.0	2
24851.0	4
26899.0	6
28947.0	10
30995.0	16
33318.0	64
66637.0	162
37414.0	112
74829.0	184
41510.0	120
83021.0	184
45606.0	120
49702.0	120
53798.0	120
57894.0	122
61990.0	130
66636.0	162
74828.0	184
83020.0	184
33317.0	64
66635.0	162
37413.0	112
74827.0	184
41509.0	120
83019.0	184
45605.0	120
49701.0	120
53797.0	120
57893.0	122
61989.0	130
66634.0	162
18706.0	2
74826.0	184
20754.0	2
83018.0	184
22802.0	2
24850.0	4
26898.0	8
28946.0	10
30994.0	16
33316.0	64
66633.0	162
37412.0	112
74825.0	184
41508.0	120
83017.0	184
45604.0	120
49700.0	120
53796.0	120
57892.0	122
61988.0	130
66632.0	162
74824.0	184
83016.0	184
33315.0	64
66631.0	162
37411.0	112
74823.0	184
41507.0	120
83015.0	184
45603.0	120
49699.0	120
53795.0	120
57891.0	122
61987.0	130
66630.0	162
18705.0	2
74822.0	184
20753.0	2
83014.0	184
22801.0	2
24849.0	4
26897.0	6
28945.0	8
30993.0	16
33314.0	64
66629.0	162
37410.0	112
74821.0	184
41506.0	120
83013.0	184
45602.0	120
49698.0	120
53794.0	120
57890.0	122
61986.0	130
66628.0	162
74820.0	184
83012.0	184
33313.0	64
66627.0	162
37409.0	112
74819.0	184
41505.0	120
83011.0	184
45601.0	120
49697.0	120
53793.0	120
57889.0	122
61985.0	130
66626.0	162
18704.0	2
74818.0	184
20752.0	2
83010.0	184
22800.0	2
24848.0	4
26896.0	6
28944.0	8
30992.0	16
33312.0	64
66625.0	162
37408.0	112
74817.0	184
41504.0	120
83009.0	184
45600.0	120
49696.0	120
53792.0	120
57888.0	122
61984.0	130
66624.0	162
74816.0	184
83008.0	184
33327.0	64
66655.0	162
37423.0	112
74847.0	184
41519.0	120
83039.0	184
45615.0	120
49711.0	120
53807.0	120
57903.0	122
61999.0	130
66654.0	162
18711.0	2
74846.0	184
20759.0	2
83038.0	184
22807.0	2
24855.0	4
26903.0	4
28951.0	10
30999.0	16
33326.0	64
66653.0	162
37422.0	112
74845.0	184
41518.0	120
83037.0	184
45614.0	120
49710.0	120
53806.0	120
57902.0	122
61998.0	130
66652.0	162
74844.0	184
83036.0	184
33325.0	64
66651.0	162
37421.0	112
74843.0	184
41517.0	120
