10:17:16.572 INFO  - initializing database
10:17:16.580 INFO  - parsing net file
10:17:16.968 INFO  - checking existing routes
10:17:16.969 INFO  - no route file for import given, ignoring!
10:17:17.184 INFO  - Saving 1300 nodes...
10:17:17.208 INFO  - Saving 2200 ways...
10:17:17.257 INFO  - Saving 2200 connections...
10:17:17.291 INFO  - Saving 984 restrictions...
10:17:17.302 INFO  - Saving 0 routes...
10:17:17.303 INFO  - Saving 0 roundabouts...
10:17:17.303 INFO  - Saving 0 buildings...
10:17:17.303 INFO  - Create Indices
10:17:17.305 ERROR - error while trying to write database content: [SQLITE_ERROR] SQL error or missing database (no such table: main.BuildingCorner)
10:17:17.305 INFO  - finished
