10:28:22.903 INFO  - initializing database
10:28:22.915 INFO  - parsing net file
10:28:23.367 INFO  - checking existing routes
10:28:23.368 INFO  - no route file for import given, ignoring!
10:28:23.653 INFO  - Saving 1300 nodes...
10:28:23.675 INFO  - Saving 2200 ways...
10:28:23.716 INFO  - Saving 2200 connections...
10:28:23.754 INFO  - Saving 984 restrictions...
10:28:23.765 INFO  - Saving 0 routes...
10:28:23.766 INFO  - Saving 0 roundabouts...
10:28:23.766 INFO  - Saving 0 buildings...
10:28:23.766 INFO  - Create Indices
10:28:23.769 ERROR - error while trying to write database content: [SQLITE_ERROR] SQL error or missing database (no such table: main.BuildingCorner)
10:28:23.769 INFO  - finished
