15:48:11.555 INFO  - initializing database
15:48:11.564 INFO  - parsing net file
15:48:11.993 INFO  - checking existing routes
15:48:11.993 INFO  - no route file for import given, ignoring!
15:48:12.203 INFO  - Saving 1475 nodes...
15:48:12.230 INFO  - Saving 766 ways...
15:48:12.264 INFO  - Saving 766 connections...
15:48:12.297 INFO  - Saving 233 restrictions...
15:48:12.305 INFO  - Saving 0 routes...
15:48:12.305 INFO  - Saving 0 roundabouts...
15:48:12.305 INFO  - Saving 0 buildings...
15:48:12.306 INFO  - Create Indices
15:48:12.309 ERROR - error while trying to write database content: [SQLITE_ERROR] SQL error or missing database (no such table: main.BuildingCorner)
15:48:12.309 INFO  - finished
